City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
640,The Valley,AI,77.09,overcast clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
643,Livramento,BR,75.88,scattered clouds,-3.0254,-60.1803,Refúgio Samauma
646,Gouyave,GD,79.57,few clouds,12.1646,-61.7296,Rumboat Retreat
648,Dalby,AU,84.97,overcast clouds,-27.1833,151.2667,Kobbers Motor Inn Dalby
651,San Patricio,US,77.09,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
653,Itaituba,BR,71.89,overcast clouds,-4.2761,-55.9836,Hotel Campos
654,Richards Bay,ZA,71.46,moderate rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
656,Sao Joao Da Barra,BR,70.97,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
659,Puerto Ayacucho,VE,74.17,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
662,Moindou,NC,76.41,broken clouds,-21.6924,165.677,Equi-lodge de Moindou
663,Nishihara,JP,76.28,overcast clouds,26.1842,127.7558,Minshuku Agaihama
665,Quatre Cocos,MU,80.71,clear sky,-20.2078,57.7625,Sunrise Attitude Hotel
667,Gambela,ET,83.46,clear sky,8.25,34.5833,Solomon Debebe Hotel
673,Quang Ngai,VN,84.65,broken clouds,15.1167,108.8,Central Hotel
677,Mancio Lima,BR,71.67,overcast clouds,-7.6142,-72.8958,Motel Asas Do Desejo
682,Namatanai,PG,83.57,light rain,-3.6667,152.4333,Seagulls Inn Namatani
683,Pitimbu,BR,75.79,overcast clouds,-7.4706,-34.8086,Reserva do Abiaí
687,Sakakah,SA,76.57,scattered clouds,29.9697,40.2064,Fakhamat Al Orjoana Apartment
692,Rosh Pinna,IL,80.6,clear sky,32.9689,35.5426,Spa Hotel Mizpe Hayamim
693,Mbandaka,CD,71.04,overcast clouds,0.0487,18.2603,Guest House Epervier
698,Dasoguz,TM,75.15,overcast clouds,41.8363,59.9666,Hotel Erik
700,Mogadishu,SO,85.87,broken clouds,2.0371,45.3438,Hotel Juba
701,Beterou,BJ,76.19,overcast clouds,9.1992,2.2586,Monastère de Kokoubou
703,Coruripe,BR,73.31,overcast clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
